"assignment","code","state","description","observations","unit","equipmentType","equipmentBrand"
"41055","U070313492805","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","","UND","MESA",
"41055","U070313492806","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","","UND","MESA",
"41055","U070313492807","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","Movido 236-47","UND","MESA",
"41055","U070313492808","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","","UND","MESA",
"41055","U070313492809","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","Movido 236-47","UND","MESA",
"41055","U070313492811","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","","UND","MESA",
"41055","U070313492812","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","Movido 236-47","UND","MESA",
"41055","U070313492813","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","","UND","MESA",
"41055","U070313492814","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","","UND","MESA",
"41055","U070313492815","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","","UND","MESA",
"41055","U070313492816","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","","UND","MESA",
"41055","U070313492817","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","Movido 236-47","UND","MESA",
"41055","U070313492818","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","","UND","MESA",
"41055","U070313492819","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","","UND","MESA",
"41055","U070313492820","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","Movido 236-47","UND","MESA",
"41055","U070313492821","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","","UND","MESA",
"41055","U070313492822","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","","UND","MESA",
"41055","U070313492823","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","Movido 236-47","UND","MESA",
"41055","U070313492824","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","","UND","MESA",
"41055","U070313492825","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","","UND","MESA",
"41055","U070313492826","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","Movido 236-47","UND","MESA",
"41055","U070313492827","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","","UND","MESA",
"41055","U070313492828","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","","UND","MESA",
"41055","U070313492830","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","","UND","MESA",
"41055","U070313492831","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","","UND","MESA",
"41055","U070313492832","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","","UND","MESA",
"41055","U070313492833","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","","UND","MESA",
"41055","U070313492834","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","","UND","MESA",
"41055","U070313492835","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","","UND","MESA",
"41055","U070313492836","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","","UND","MESA",
"41055","U070313492837","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.","Movido 236-47","UND","MESA",
"46792","U144771011358","REGULAR","RETROPROYECTOR - PROYECTOR PROYECTOR INTERACTIVO MULTIMEDIA BRIGHTLINK 455WI","Movido al 236-47","UND","PROYECTOR",
