"assignment","code","state","description","observations","unit","equipmentType","equipmentBrand"
"46415","U070312462213","BUENO","SILLA SILLA PLASTICA SIN BRAZOS COLOR BEIGE MARCA GEMPLAST","Cuadrada","UND","SILLA","GEMPLAST"
"46415","U070312462234","BUENO","SILLA SILLA PLASTICA SIN BRAZOS COLOR BEIGE MARCA GEMPLAST","Cuadrada","UND","SILLA","GEMPLAST"
"46415","U141912440095","BUENO","SILLA METALICA MELAMINICA.","","PZA","SILLA",
"46415","U141913440239","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","","UND","MESA",
"46415","U141913440281","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","","UND","MESA",
"46415","U141924113356","BUENO","CPU (EQPO. COMPUTACION) CPU-LENOVO PROCESADOR INTEL CORE I3 3.1GHZ, TARJETA MADRE CHIPSET INTEL Q67 IGMA HD, RAM 4GB DDR3, DISCO DURO 320GB SATA II, DISCO OPTICO MULTIBURNER","Sin tarjeta WiFi","UND","CPU","LENOVO"
"46415","U141924113357","BUENO","CPU (EQPO. COMPUTACION) CPU-LENOVO PROCESADOR INTEL CORE I3 3.1GHZ, TARJETA MADRE CHIPSET INTEL Q67 IGMA HD, RAM 4GB DDR3, DISCO DURO 320GB SATA II, DISCO OPTICO MULTIBURNER","","UND","CPU","LENOVO"
"46415","U141924113358","BUENO","CPU (EQPO. COMPUTACION) CPU-LENOVO PROCESADOR INTEL CORE I3 3.1GHZ, TARJETA MADRE CHIPSET INTEL Q67 IGMA HD, RAM 4GB DDR3, DISCO DURO 320GB SATA II, DISCO OPTICO MULTIBURNER","","UND","CPU","LENOVO"
"46415","U141924113360","BUENO","CPU (EQPO. COMPUTACION) CPU-LENOVO PROCESADOR INTEL CORE I3 3.1GHZ, TARJETA MADRE CHIPSET INTEL Q67 IGMA HD, RAM 4GB DDR3, DISCO DURO 320GB SATA II, DISCO OPTICO MULTIBURNER","Sin antenas WiFi","UND","CPU","LENOVO"
"46415","U141924113361","BUENO","CPU (EQPO. COMPUTACION) CPU-LENOVO PROCESADOR INTEL CORE I3 3.1GHZ, TARJETA MADRE CHIPSET INTEL Q67 IGMA HD, RAM 4GB DDR3, DISCO DURO 320GB SATA II, DISCO OPTICO MULTIBURNER","Falta una antena WiFi","UND","CPU","LENOVO"
