"assignment","code","state","description","observations","unit","equipmentType","equipmentBrand"
"46795","U141924211992","BUENO","MONITOR PARA COMPUTADORA MONITOR FLAT PANEL LCD DE 17"" MARCA DELL","","UND","MONITOR","DELL"
"46795","U141924212103","BUENO","MONITOR PARA COMPUTADORA MONITOR FLAT PANEL LCD DE 17"" MARCA DELL","UBICADO ATRÁS","UND","MONITOR","DELL"
"46797","U131011240627","REGULAR","ESTANTE METALICO CON 6 DIVISIONES. DE 1.27*0.30*2.30 MTS.","","PZA","ESTANTE",
"46797","U131011240628","REGULAR","ESTANTE METALICO CON 5 DIVISIONES. DE 1.83*0.30*2.00 MTS.","","PZA","ESTANTE",
"46797","U131011240630","REGULAR","ESTANTE METALICO CON 6 DIVISIONES. DE 1.04*0.30*2.30 MTS.","","PZA","ESTANTE",
"46797","U131011632344","REGULAR","MESA DE MADERA C/2 CAJONES DE 1.50*0.74*0.77 MTS.","MESA CAFÉ DEL AUXILIAR","PZA","MESA",
"46797","U131020110603","REGULAR","ACONDICIONADOR DE AIRE TIPO VENTANA","PRODUCE MUCHO RUIDO","PZA",,
"46797","U131020110604","REGULAR","ACONDICIONADOR DE AIRE TIPO VENTANA","PRODUCE MUCHO RUIDO","PZA",,
"46797","U131020110606","REGULAR","ACONDICIONADOR DE AIRE ACONDICIONADOR DE AIRE MARCA TOSHIBA","","PZA","AIRE ACONDICIONADO","TOSHIBA"
"46797","U131021410152","REGULAR","HUB - SWITCH CONVERSOR TREND NET FIBER MEDIA MOD.TFC-110MSC","UBICADO EN ESTANTE #2","PZA","SWITCH","TREND"
"46797","U131021410153","REGULAR","HUB - SWITCH DE 24 PUERTOS CISCO SYSTEM CATALYST 2950","UBICADO EN EL RACK","PZA","SWITCH","CISCO"
"46797","U131021410154","REGULAR","HUB - SWITCH DE 24 PUERTOS CISCO SYSTEM CATALYST 2950","UBICADO EN EL RACK","PZA","SWITCH","CISCO"
"46797","U131025010004","REGULAR","ROUTER CISCO SYSTEM MOD.CISCO-2500","","PZA","ROUTER","CISCO"
"46797","U131025010007","REGULAR","ROUTER CISCO SYSTEM MOD.CISCO-2500","","PZA","ROUTER","CISCO"
"46797","U131025010009","REGULAR","ROUTER CISCO SYSTEM MOD.CISCO-2500","","PZA","ROUTER","CISCO"
"46797","U133513431637","BUENO","MESA PARA COMPUTADORA MESA RECTA PARA COMPUTADORAS MEDIDAS: LARGO 4.35MTS. ANCHO 0.60MTS. ALTO 0.75MTS.","MESA DOCENTE","UND","MESA",
"46797","U135121410162","REGULAR","HUB - SWITCH DE 16 PUERTOS NBASE NH100-16","MARCA CNET","PZA","SWITCH","NBASE"
"46797","U135125010025","REGULAR","ROUTER CISCO-2600","ESTANTE #4 - PUERTA #4","PZA","ROUTER","CISCO"
"46797","U141811240643","REGULAR","ESTANTE METALICO C/5 DIVISIONES,0.93*0.31*1.94 MTS.","","PZA","ESTANTE",
"46797","U141911632645","REGULAR","MESA DE MADERA C/1 DIV. DE: 0.59X0.50X0.78 MTS.","","PZA","MESA",
"46797","U141912434145","BUENO","SILLA DE MADERA.","","PZA","SILLA",
"46797","U141912434157","BUENO","SILLA DE MADERA.","","PZA","SILLA",
"46797","U141912434169","BUENO","SILLA DE MADERA.","","PZA","SILLA",
"46797","U141912434170","BUENO","SILLA DE MADERA.","","PZA","SILLA",
"46797","U141912434178","BUENO","SILLA DE MADERA.","","PZA","SILLA",
"46797","U141912434183","BUENO","SILLA DE MADERA.","","PZA","SILLA",
"46797","U141912434185","REGULAR","SILLA DE MADERA.","","PZA","SILLA",
"46797","U141912434188","BUENO","SILLA DE MADERA.","","PZA","SILLA",
"46797","U141912434194","BUENO","SILLA DE MADERA.","","PZA","SILLA",
"46797","U141912434195","BUENO","SILLA DE MADERA.","","PZA","SILLA",
"46797","U141913231173","REGULAR","VITRINA DE MADERA 4 PUERTAS,1 DIVISIONES 1.20*0.40*1.80 MTS.","UBICADO ATRÁS","PZA","VITRINA",
"46797","U141913440306","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","MESA DEL AUXILIAR","UND","MESA",
"46797","U141920110625","REGULAR","ACONDICIONADOR DE AIRE ELECTRICO.TIPO VENTANA.","","PZA",,
"46797","U141920110627","REGULAR","ACONDICIONADOR DE AIRE ELECTRICO.TIPO VENTANA.","","PZA",,
"46797","U141921410176","BUENO","HUB - SWITCH DE 16 PUERTAS (MARCA:INFOSMAT).","","PZA","SWITCH","INFOSMAT"
"46797","U141921410177","BUENO","HUB - SWITCH DE 16 PUERTAS (MARCA:INFOSMAT).","","PZA","SWITCH","INFOSMAT"
"46797","U141921712774","BUENO","ESTABILIZADOR ESTABILIZADOR ATOMLUX H1000 DE 1000 VA","","UND","ESTABILIZADOR","ATOMLUX"
"46797","U141921712775","BUENO","ESTABILIZADOR ESTABILIZADOR ATOMLUX H1000 DE 1000 VA","","UND","ESTABILIZADOR","ATOMLUX"
"46797","U141921712776","BUENO","ESTABILIZADOR ESTABILIZADOR ATOMLUX H1000 DE 1000 VA","","UND","ESTABILIZADOR","ATOMLUX"
"46797","U141921712778","BUENO","ESTABILIZADOR ESTABILIZADOR ATOMLUX H1000 DE 1000 VA","FALLA","UND","ESTABILIZADOR","ATOMLUX"
"46797","U141921712780","BUENO","ESTABILIZADOR ESTABILIZADOR ATOMLUX H1000 DE 1000 VA","","UND","ESTABILIZADOR","ATOMLUX"
"46797","U141921712783","BUENO","ESTABILIZADOR ESTABILIZADOR ATOMLUX H1000 DE 1000 VA","","UND","ESTABILIZADOR","ATOMLUX"
"46797","U141921712786","BUENO","ESTABILIZADOR ESTABILIZADOR ATOMLUX H1000 DE 1000 VA","","UND","ESTABILIZADOR","ATOMLUX"
"46797","U141921712787","BUENO","ESTABILIZADOR ESTABILIZADOR ATOMLUX H1000 DE 1000 VA","","UND","ESTABILIZADOR","ATOMLUX"
"46797","U141921712794","BUENO","ESTABILIZADOR ESTABILIZADOR ATOMLUX H1000 DE 1000 VA","","UND","ESTABILIZADOR","ATOMLUX"
"46797","U141921712798","BUENO","ESTABILIZADOR ESTABILIZADOR ATOMLUX H1000 DE 1000 VA","","UND","ESTABILIZADOR","ATOMLUX"
"46797","U141921712811","REGULAR","ESTABILIZADOR ESTABILIZADOR ATOMLUX H1000 DE 1000 VA","FALLA","UND","ESTABILIZADOR","ATOMLUX"
"46797","U141921712815","REGULAR","ESTABILIZADOR ESTABILIZADOR ATOMLUX H1000 DE 1000 VA","","UND","ESTABILIZADOR","ATOMLUX"
"46797","U141921712818","BUENO","ESTABILIZADOR ESTABILIZADOR ATOMLUX H1000 DE 1000 VA","","UND","ESTABILIZADOR","ATOMLUX"
"46797","U141921712831","BUENO","ESTABILIZADOR ESTABILIZADOR ATOMLUX H1000 DE 1000 VA","","UND","ESTABILIZADOR","ATOMLUX"
"46797","U141921712834","BUENO","ESTABILIZADOR ESTABILIZADOR ATOMLUX H1000 DE 1000 VA","","UND","ESTABILIZADOR","ATOMLUX"
"46797","U141921712851","BUENO","ESTABILIZADOR ESTABILIZADOR ATOMLUX H1000 DE 1000 VA","FALLA","UND","ESTABILIZADOR","ATOMLUX"
"46797","U141921712867","BUENO","ESTABILIZADOR ESTABILIZADOR ATOMLUX H1000 DE 1000 VA","","UND","ESTABILIZADOR","ATOMLUX"
"46797","U141921712878","BUENO","ESTABILIZADOR ESTABILIZADOR ATOMLUX H1000 DE 1000 VA","","UND","ESTABILIZADOR","ATOMLUX"
"46797","U141921712885","BUENO","ESTABILIZADOR ESTABILIZADOR ATOMLUX H1000 DE 1000 VA","FALLA","UND","ESTABILIZADOR","ATOMLUX"
"46797","U141921713368","BUENO","ESTABILIZADOR ESTABILIZADOR/REGULADOR DE VOLTAJE MARCA: ATOMLUX DE 1000 VA DE CAPACIDAD.","","UND","ESTABILIZADOR","ATOMLUX"
"46797","U141921713372","BUENO","ESTABILIZADOR ESTABILIZADOR/REGULADOR DE VOLTAJE MARCA: ATOMLUX DE 1000 VA DE CAPACIDAD.","","UND","ESTABILIZADOR","ATOMLUX"
"46797","U141921713378","BUENO","ESTABILIZADOR ESTABILIZADOR/REGULADOR DE VOLTAJE MARCA: ATOMLUX DE 1000 VA DE CAPACIDAD.","","UND","ESTABILIZADOR","ATOMLUX"
"46797","U141921713386","BUENO","ESTABILIZADOR ESTABILIZADOR/REGULADOR DE VOLTAJE MARCA: ATOMLUX DE 1000 VA DE CAPACIDAD.","","UND","ESTABILIZADOR","ATOMLUX"
"46797","U141921713387","BUENO","ESTABILIZADOR ESTABILIZADOR/REGULADOR DE VOLTAJE MARCA: ATOMLUX DE 1000 VA DE CAPACIDAD.","","UND","ESTABILIZADOR","ATOMLUX"
"46797","U141921713397","BUENO","ESTABILIZADOR ESTABILIZADOR/REGULADOR DE VOLTAJE MARCA: ATOMLUX DE 1000 VA DE CAPACIDAD.","","UND","ESTABILIZADOR","ATOMLUX"
"46797","U141921713398","BUENO","ESTABILIZADOR ESTABILIZADOR/REGULADOR DE VOLTAJE MARCA: ATOMLUX DE 1000 VA DE CAPACIDAD.","","UND","ESTABILIZADOR","ATOMLUX"
