"assignment","code","state","description","observations","unit","equipmentType","equipmentBrand"
"46404","U141924213327","BUENO","MONITOR PARA COMPUTADORA MONITOR LENOVO FLAT PANEL LCD DE 18.5""","Proxi","UND","MONITOR","LENOVO"
"46801","U141911132089","BUENO","ESCRITORIO ESCRITORIO DE MADERA, CON PORTA TECLADO Y DOS CAJONES, MEDIDAS: 1.20X0.60X0.76 MTS.","","UND","TECLADO",
"46801","U141911132092","BUENO","ESCRITORIO ESCRITORIO DE MADERA EN FORMA DE L, ESCRITORIO 1.70X0.70X0.76 MTS., CON DOS CAJONES Y UN PORTA FILE, MESA PARA COMPUTADORA 1.00X0.60X0.76 MTS. CON PORTA TECLADO Y CPU","","UND","CPU",
"46801","U141913440226","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","","UND","MESA",
"46801","U141913440227","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","","UND","MESA",
"46801","U141913440228","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","","UND","MESA",
"46801","U141913440232","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","","UND","MESA",
"46801","U141913440235","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","","UND","MESA",
"46801","U141913440240","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","","UND","MESA",
"46801","U141913440242","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","","UND","MESA",
"46801","U141913440245","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","","UND","MESA",
"46801","U141913440250","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","","UND","MESA",
"46801","U141913440260","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","","UND","MESA",
"46801","U141913440278","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","","UND","MESA",
"46801","U141913440303","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","","UND","MESA",
"46801","U141913440305","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","","UND","MESA",
"46801","U141913440312","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","","UND","MESA",
"46801","U141913440314","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","","UND","MESA",
"46801","U141913440323","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","","UND","MESA",
"46801","U141913440327","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","","UND","MESA",
"46801","U141913440341","BUENO","MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.","","UND","MESA",
