"assignment","code","state","description","observations","unit","equipmentType","equipmentBrand"
"46408","U141924113404","BUENO","CPU (EQPO. COMPUTACION) CPU-LENOVO PROCESADOR INTEL CORE I3 3.1GHZ, TARJETA MADRE CHIPSET INTEL Q67 IGMA HD, RAM 4GB DDR3, DISCO DURO 320GB SATA II, DISCO OPTICO MULTIBURNER","","UND","CPU","LENOVO"
"46412","U070371011703","BUENO","RETROPROYECTOR - PROYECTOR PROYECTOR MULTIMEDIA EPSON BRIGHTLINK 475WI+ CAP. 2600 LUMENES, INCLUYE: MICROFONO INALAMBRICO CORBATERO, CONTROL REMOTO Y LAPICES INTERACTIVOS, PARLATE INTEGRADO","","UND","PROYECTOR","EPSON"
"46422","U141912450034","BUENO","SILLA DE MADERA CON FORMICA Y BASE DE METAL.","","PZA","SILLA",
"46422","U147124117113","BUENO","CPU (EQPO. COMPUTACION) CPU-DELL PROCESADOR INTEL CORE I7-4790 4TA GEN. 3.6GHZ, CHIPSET INTEL Q87 EXPRESS, RAM 8GB DDR3, DISCO DURO 1TB SATA, UNIDAD OPTICA DVD-RW, TARJETA DE RED INALAMBRICA, TARJETA DE VIDEO AMD 2GB","","UND","CPU","DELL"
"46815","U141924213354","BUENO","MONITOR PARA COMPUTADORA MONITOR LENOVO FLAT PANEL LCD DE 18.5""","","UND","MONITOR","LENOVO"
