NROASIGNACION;CODIGO;UND;DESCRIPCION;ESTADO;OBSERVACION
46795;U141924211992;UND;"MONITOR PARA COMPUTADORA MONITOR FLAT PANEL LCD DE 17"" MARCA DELL";BUENO;
46795;U141924212103;UND;"MONITOR PARA COMPUTADORA MONITOR FLAT PANEL LCD DE 17"" MARCA DELL";BUENO;UBICADO ATRÁS
46797;U131011240627;PZA;ESTANTE METALICO CON 6 DIVISIONES. DE 1.27*0.30*2.30 MTS.;REGULAR;
46797;U131011240628;PZA;ESTANTE METALICO CON 5 DIVISIONES. DE 1.83*0.30*2.00 MTS.;REGULAR;
46797;U131011240630;PZA;ESTANTE METALICO CON 6 DIVISIONES. DE 1.04*0.30*2.30 MTS.;REGULAR;
46797;U131011632344;PZA;MESA DE MADERA C/2 CAJONES DE 1.50*0.74*0.77 MTS.;REGULAR;MESA CAFÉ DEL AUXILIAR
46797;U131020110603;PZA;ACONDICIONADOR DE AIRE TIPO VENTANA;REGULAR;PRODUCE MUCHO RUIDO
46797;U131020110604;PZA;ACONDICIONADOR DE AIRE TIPO VENTANA;REGULAR;PRODUCE MUCHO RUIDO
46797;U131020110606;PZA;ACONDICIONADOR DE AIRE ACONDICIONADOR DE AIRE MARCA TOSHIBA;REGULAR;
46797;U131021410152;PZA;HUB - SWITCH CONVERSOR TREND NET FIBER MEDIA MOD.TFC-110MSC;REGULAR;UBICADO EN ESTANTE #2
46797;U131021410153;PZA;HUB - SWITCH DE 24 PUERTOS CISCO SYSTEM CATALYST 2950;REGULAR;UBICADO EN EL RACK
46797;U131021410154;PZA;HUB - SWITCH DE 24 PUERTOS CISCO SYSTEM CATALYST 2950;REGULAR;UBICADO EN EL RACK
46797;U131025010004;PZA;ROUTER CISCO SYSTEM MOD.CISCO-2500;REGULAR;
46797;U131025010007;PZA;ROUTER CISCO SYSTEM MOD.CISCO-2500;REGULAR;
46797;U131025010009;PZA;ROUTER CISCO SYSTEM MOD.CISCO-2500;REGULAR;
46797;U133513431637;UND;MESA PARA COMPUTADORA MESA RECTA PARA COMPUTADORAS MEDIDAS: LARGO 4.35MTS. ANCHO 0.60MTS. ALTO 0.75MTS.;BUENO;MESA DOCENTE
46797;U135121410162;PZA;HUB - SWITCH DE 16 PUERTOS NBASE NH100-16;REGULAR;MARCA CNET
46797;U135125010025;PZA;ROUTER CISCO-2600;REGULAR;ESTANTE #4 - PUERTA #4
46797;U141811240643;PZA;ESTANTE METALICO C/5 DIVISIONES,0.93*0.31*1.94 MTS.;REGULAR;
46797;U141911632645;PZA;MESA DE MADERA C/1 DIV. DE: 0.59X0.50X0.78 MTS.;REGULAR;
46797;U141912434145;PZA;SILLA DE MADERA.;BUENO;
46797;U141912434157;PZA;SILLA DE MADERA.;BUENO;
46797;U141912434169;PZA;SILLA DE MADERA.;BUENO;
46797;U141912434170;PZA;SILLA DE MADERA.;BUENO;
46797;U141912434178;PZA;SILLA DE MADERA.;BUENO;
46797;U141912434183;PZA;SILLA DE MADERA.;BUENO;
46797;U141912434185;PZA;SILLA DE MADERA.;REGULAR;
46797;U141912434188;PZA;SILLA DE MADERA.;BUENO;
46797;U141912434194;PZA;SILLA DE MADERA.;BUENO;
46797;U141912434195;PZA;SILLA DE MADERA.;BUENO;
46797;U141913231173;PZA;VITRINA DE MADERA 4 PUERTAS,1 DIVISIONES 1.20*0.40*1.80 MTS.;REGULAR;UBICADO ATRÁS
46797;U141913440306;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;MESA DEL AUXILIAR
46797;U141920110625;PZA;ACONDICIONADOR DE AIRE ELECTRICO.TIPO VENTANA.;REGULAR;
