NROASIGNACION;CODIGO;UND;DESCRIPCION;ESTADO;OBSERVACION
46408;U141924113404;UND;CPU (EQPO. COMPUTACION) CPU-LENOVO PROCESADOR INTEL CORE I3 3.1GHZ, TARJETA MADRE CHIPSET INTEL Q67 IGMA HD, RAM 4GB DDR3, DISCO DURO 320GB SATA II, DISCO OPTICO MULTIBURNER;BUENO;
46412;U070371011703;UND;RETROPROYECTOR - PROYECTOR PROYECTOR MULTIMEDIA EPSON BRIGHTLINK 475WI+ CAP. 2600 LUMENES, INCLUYE: MICROFONO INALAMBRICO CORBATERO, CONTROL REMOTO Y LAPICES INTERACTIVOS, PARLATE INTEGRADO;BUENO;
46422;U141912450034;PZA;SILLA DE MADERA CON FORMICA Y BASE DE METAL.;BUENO;
46422;U147124117113;UND;CPU (EQPO. COMPUTACION) CPU-DELL PROCESADOR INTEL CORE I7-4790 4TA GEN. 3.6GHZ, CHIPSET INTEL Q87 EXPRESS, RAM 8GB DDR3, DISCO DURO 1TB SATA, UNIDAD OPTICA DVD-RW, TARJETA DE RED INALAMBRICA, TARJETA DE VIDEO AMD 2GB;BUENO;
46815;U141924213354;UND;"MONITOR PARA COMPUTADORA MONITOR LENOVO FLAT PANEL LCD DE 18.5""";BUENO;
