NROASIGNACION;CODIGO;UND;DESCRIPCION;ESTADO;OBSERVACION
46404;U141924213327;UND;"MONITOR PARA COMPUTADORA MONITOR LENOVO FLAT PANEL LCD DE 18.5""";BUENO;Proxi
46801;U141911132089;UND;ESCRITORIO ESCRITORIO DE MADERA, CON PORTA TECLADO Y DOS CAJONES, MEDIDAS: 1.20X0.60X0.76 MTS.;BUENO;
46801;U141911132092;UND;ESCRITORIO ESCRITORIO DE MADERA EN FORMA DE L, ESCRITORIO 1.70X0.70X0.76 MTS., CON DOS CAJONES Y UN PORTA FILE, MESA PARA COMPUTADORA 1.00X0.60X0.76 MTS. CON PORTA TECLADO Y CPU;BUENO;
46801;U141913440226;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;
46801;U141913440227;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;
46801;U141913440228;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;
46801;U141913440232;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;
46801;U141913440235;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;
46801;U141913440240;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;
46801;U141913440242;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;
46801;U141913440245;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;
46801;U141913440250;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;
46801;U141913440260;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;
46801;U141913440278;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;
46801;U141913440303;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;
46801;U141913440305;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;
46801;U141913440312;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;
46801;U141913440314;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;
46801;U141913440323;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;
46801;U141913440327;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;
46801;U141913440341;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;
46801;U141920111943;UND;ACONDICIONADOR DE AIRE AIRE ACONDICIONADO TIPO SPLIT W. WESTINGHOUSE DE 36000BTU;BUENO;
46801;U141920111944;UND;ACONDICIONADOR DE AIRE AIRE ACONDICIONADO TIPO SPLIT W. WESTINGHOUSE DE 36000BTU;BUENO;
46801;U141921712779;UND;ESTABILIZADOR ESTABILIZADOR ATOMLUX H1000 DE 1000 VA;BUENO;Modem
46801;U141923910963;PZA;VENTILADOR DE TECHO.;BUENO;
46801;U141923910964;PZA;VENTILADOR DE TECHO.;BUENO;
46801;U141923910965;PZA;VENTILADOR DE TECHO.;BUENO;
46801;U141923910966;PZA;VENTILADOR DE TECHO.;BUENO;
46801;U141924112773;UND;CPU (EQPO. COMPUTACION) CPU MARCA: HP, MODELO: DC-3000, P/ INTEL CORE 2 DUO, DE 2.93 GHZ, T/MADRE CHIPSET G45, VIDEO INTEGRADO, RAM 2GB, CARD READER, D/ DURO DE 320 GB, LECTOR Y GRABADOR DE DVD, RED GIGABIT.;BUENO;Estudiante 2
46801;U141924113378;UND;CPU (EQPO. COMPUTACION) CPU-LENOVO PROCESADOR INTEL CORE I3 3.1GHZ, TARJETA MADRE CHIPSET INTEL Q67 IGMA HD, RAM 4GB DDR3, DISCO DURO 320GB SATA II, DISCO OPTICO MULTIBURNER;BUENO;Movido al 236-UndMant como proxi 4to piso
46801;U141924113402;UND;CPU (EQPO. COMPUTACION) CPU-LENOVO PROCESADOR INTEL CORE I3 3.1GHZ, TARJETA MADRE CHIPSET INTEL Q67 IGMA HD, RAM 4GB DDR3, DISCO DURO 320GB SATA II, DISCO OPTICO MULTIBURNER;BUENO;Disco 500 Gb. Pc-Auxiliar
46801;U141924212038;UND;"MONITOR PARA COMPUTADORA MONITOR FLAT PANEL LCD DE 17"" MARCA DELL";BUENO;Movido al 236-42
46801;U141924212732;UND;"MONITOR PARA COMPUTADORA MONITOR FLAT PANEL LCD DE 17""";BUENO;HP. Camaras
46801;U141924212748;UND;"MONITOR PARA COMPUTADORA MONITOR FLAT PANEL LCD DE 17""";BUENO;HP. Estudiante 1
46801;U141924213306;UND;"MONITOR PARA COMPUTADORA MONITOR LENOVO FLAT PANEL LCD DE 18.5""";BUENO;Monitor-Auxiliar
46801;U141924440022;PZA;RACK (P/EQ.COMPUT.) METALICO COLOR NEGRO.;BUENO;
46801;U141924440023;PZA;RACK (P/EQ.COMPUT.) METALICO COLOR NEGRO.;BUENO;
46801;U141967010569;UND;EQUIPO PARA REDES SWITCH DELL MODELO POWER CONNECT 2824 24 PUERTOS BASE-T;BUENO;Movido al 236-43
46801;U141968110404;UND;CAMARA DE VIGILANCIA CAMARA IR DOMO ANTIVANDALISMO DE 700 TVL.;BUENO;
46801;U141968210030;UND;EQUIPO GRABADOR DIGITAL DVR GRABADOR DE 16 CANALES DE VIDEO FULL 2CIF. DISCO DURO DE 3TB, TAMANO DE: 32.5*24.5*0.45 MTS.;BUENO;Movido al 236-47. Para dar de baja.
46801;U141970690574;PZA;PIZARRA ACRILICA DE:3,00X1,20 MTS.;REGULAR;
46801;U141971011198;UND;RETROPROYECTOR - PROYECTOR PROYECTOR MULTIMEDIA EPSON MODELO BRIGHLINK 455WI+;REGULAR;
46801;U142412470098;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;
46801;U142412470099;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;
46801;U142412470100;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;
46801;U142412470101;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;
46801;U142412470103;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;
46801;U142412470104;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;
46801;U142412470106;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;
