NROASIGNACION;CODIGO;UND;DESCRIPCION;ESTADO;OBSERVACION
46802;U131013132033;PZA;TABURETE DE MADERA;REGULAR;Movido al 232-11
46802;U131713130973;PZA;TABURETE REDONDO.;REGULAR;Movido al 232-11
46802;U141912781192;PZA;SILLON DE MADERA C/TAPIZ C/BEIGE.;MALO;Movido al 232-11
46802;U141913440233;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;
46802;U141913440252;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;
46802;U141913440253;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;Movido al 232-12
46802;U141913440254;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;
46802;U141913440255;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;Movido al 232-11
46802;U141913440256;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;
46802;U141913440297;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;Movido al 232-12
46802;U141913440315;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;
46802;U141913440316;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;
46802;U141913440317;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;Movido al 232-12
46802;U141913440318;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;
46802;U141913440319;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;
46802;U141913440322;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;
46802;U141913440324;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;
46802;U141913440326;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA BIPERSONAL ESTRUCTURA METALICA DE 1.35X0.60X0.75 MTS.;BUENO;Movido al 232-12
46802;U141915340078;UND;RACK MURAL DOBLE CUERPO (RACK) 12U NEGRO NINGBO 525*500*592.;BUENO;
